,Magnitude,Place,Time,Longitude,Latitude,Depth
8588,4.6,"97 km NE of Yonakuni, Japan",1515952452110,123.6369,25.1319,10.0
8587,4.7,"92 km NNW of Ishigaki, Japan",1515958913250,123.7172,25.0774,10.0
8586,4.6,"84 km NNW of Ishigaki, Japan",1515959335090,123.841,25.05,10.0
8585,4.5,"28 km NNE of Yilan, China",1516007158720,129.6468,46.5637,10.0
8584,4.5,"103 km ESE of Nishinoomote, Japan",1516048899270,132.0594,30.5516,19.68
8583,4.4,"57 km S of Nemuro, Japan",1516096188540,145.5323,42.8062,65.79
8582,4.3,Mariana Islands region,1516122027110,144.2489,21.4874,124.79
8581,4.1,"91 km SE of Shizunai-furukawach?, Japan",1516135088020,143.203,41.7925,47.15
8580,4.5,"8 km S of Keelung, Taiwan",1516168751420,121.7264,25.0495,140.3
8579,4.0,"36 km N of Basco, Philippines",1516193786630,122.0377,20.7734,145.82
8578,4.3,"156 km ESE of Kuril’sk, Russia",1516235548560,149.826,44.9322,50.45
8577,5.0,"Bonin Islands, Japan region",1516240261020,141.8255,27.4612,50.71
8576,4.2,"72 km SSE of Kuril’sk, Russia",1516252450880,148.0835,44.5922,71.12
8575,4.2,"Izu Islands, Japan region",1516358507090,140.801,29.3616,10.0
8574,4.9,"35 km WSW of Shikotan, Russia",1516363201620,146.3326,43.654,92.86
8573,5.0,"125 km SE of Kuril’sk, Russia",1516427492790,149.2,44.5925,45.22
8572,4.2,"122 km SSE of Kuril’sk, Russia",1516481229860,148.7212,44.3031,35.0
8571,4.1,"Bonin Islands, Japan region",1516506156150,139.8931,28.8901,376.0
8570,4.5,"32 km SE of Hitachi, Japan",1516728725640,140.9276,36.4138,23.91
8569,4.3,"50 km SE of Ishinomaki, Japan",1516737293980,141.7628,38.1475,54.6
8568,4.7,"Bonin Islands, Japan region",1516763682380,140.7927,26.4351,487.91
8567,4.5,"Volcano Islands, Japan region",1516773014200,142.0818,23.6562,87.09
8566,4.3,"25 km E of Mnogoudobnoye, Russia",1516774543810,132.7856,43.4536,482.83
8565,6.3,"99 km ENE of Misawa, Japan",1516791079090,142.4323,41.1034,31.0
8564,4.4,"20 km E of Namie, Japan",1516802136890,141.2328,37.4474,55.06
8563,4.2,"96 km ENE of Misawa, Japan",1516887292940,142.4448,41.0222,56.24
8562,4.5,"64 km E of Yujing, Taiwan",1516984290240,121.081,23.0468,10.0
8561,4.4,"38 km ESE of Ishinomaki, Japan",1516990259420,141.6869,38.2447,58.46
8560,4.2,"261 km SSE of Shimoda, Japan",1516998282080,140.3151,32.6119,115.86
8559,4.8,"68 km NNE of Miyako, Japan",1517082210670,142.319,40.1907,51.7
8558,4.0,"41 km S of Hirara, Japan",1517132963740,125.3601,24.432,52.26
8557,4.4,"116 km E of Hachinohe, Japan",1517170903040,142.8643,40.6007,35.0
8556,4.8,"90 km ENE of Misawa, Japan",1517198399080,142.3731,41.022,50.32
8555,4.2,"86 km E of Mutsu, Japan",1517269338920,142.2391,41.161,45.58
8554,4.4,"47 km E of Ishinomaki, Japan",1517271958290,141.8381,38.4617,49.27
8553,4.5,"132 km SE of Kuril’sk, Russia",1517281649450,149.2329,44.5235,52.89
8552,4.8,"139 km SE of Kuril’sk, Russia",1517284254370,149.2646,44.4515,59.71
8551,4.7,"38 km SSE of Shizunai-furukawach?, Japan",1517343108110,142.5396,42.0079,60.2
8550,4.8,"43 km E of ?arai, Japan",1517361324890,141.0725,36.3073,47.25
8549,4.3,"73 km E of Nishinoomote, Japan",1517402757490,131.7693,30.7809,10.0
8548,4.0,"49 km ESE of Jiufen, Taiwan",1517404925940,122.2869,24.9196,146.15
8547,4.4,"30 km SSW of Naze, Japan",1517467691910,129.4025,28.0979,41.95
8546,4.5,"95 km ESE of Namie, Japan",1517499473290,142.0206,37.1964,23.81
8545,4.2,"121 km ENE of Misawa, Japan",1517524901660,142.7207,41.1003,53.15
8544,4.3,"20 km ESE of ?tsuchi, Japan",1517583131320,142.1203,39.2944,58.13
8543,4.0,"263 km WNW of Hakui, Japan",1517596943460,134.2941,38.1923,428.05
8542,4.0,Mariana Islands region,1517666729660,143.0571,21.4834,329.85
8541,4.8,"22 km NNE of Hualien City, Taiwan",1517686256870,121.7152,24.1577,11.14
8540,5.0,"25 km NNE of Hualien City, Taiwan",1517749971920,121.7321,24.1787,10.15
8539,4.3,"20 km NE of Hualien City, Taiwan",1517751188990,121.7188,24.1244,10.39
8538,6.1,"22 km NNE of Hualien City, Taiwan",1517752601950,121.7078,24.1572,12.0
8537,4.7,"34 km NE of Hualien City, Taiwan",1517753124510,121.8778,24.1537,10.0
8536,4.9,"23 km NE of Hualien City, Taiwan",1517753451640,121.7574,24.1393,9.85
8535,4.7,"31 km NE of Hualien City, Taiwan",1517753521690,121.8219,24.1798,10.0
8534,5.5,"23 km NE of Hualien City, Taiwan",1517753592140,121.7641,24.1256,9.14
8533,4.8,"19 km NE of Hualien City, Taiwan",1517753814840,121.7461,24.0953,7.19
8532,4.6,"29 km NE of Hualien City, Taiwan",1517758426880,121.7835,24.182,12.77
8531,4.5,"32 km NE of Hualien City, Taiwan",1517763262320,121.8397,24.1707,7.69
8530,4.7,"24 km NE of Hualien City, Taiwan",1517821604330,121.7755,24.1311,10.0
8529,4.8,"20 km NE of Hualien City, Taiwan",1517846321310,121.7522,24.1071,8.42
8528,4.4,"30 km ENE of Hualien City, Taiwan",1517852232870,121.8548,24.127,10.69
8527,5.4,"Bonin Islands, Japan region",1517864183140,140.1995,26.9834,477.84
8526,3.9,"19 km NE of Hualien City, Taiwan",1517877310280,121.7189,24.1136,10.14
8525,4.6,"68 km ESE of Katsuren-haebaru, Japan",1517884457900,128.4904,26.0563,12.7
8524,4.8,"144 km E of Nago, Japan",1517886374890,129.4155,26.8275,26.91
8523,4.8,"23 km NNE of Hualien City, Taiwan",1517893754770,121.7052,24.1693,9.4
8522,4.6,"18 km ENE of Hualien City, Taiwan",1517906209070,121.7779,24.0332,6.24
8521,4.2,"10 km ESE of Kitaibaraki, Japan",1517925429260,140.862,36.7494,50.91
8520,6.4,"18 km NNE of Hualien City, Taiwan",1517932243320,121.6586,24.1338,17.0
8519,4.4,"14 km N of Hualien City, Taiwan",1517932760910,121.619,24.1032,8.0
8518,5.1,"8 km SE of Hualien City, Taiwan",1517933877920,121.6571,23.9222,10.0
8517,4.5,"7 km ESE of Hualien City, Taiwan",1517934404810,121.6674,23.9479,3.67
8516,5.2,"22 km NE of Hualien City, Taiwan",1517940012950,121.779,24.1074,4.9
8515,5.2,"18 km ENE of Hualien City, Taiwan",1517940458720,121.7745,24.0463,9.26
8514,5.4,"15 km E of Hualien City, Taiwan",1517944529060,121.7557,23.9922,14.0
8513,4.9,"18 km ESE of Hualien City, Taiwan",1517945795440,121.7782,23.9428,7.88
8512,4.7,"16 km ENE of Hualien City, Taiwan",1517950582350,121.7487,24.0501,8.12
8511,4.2,"4 km SSE of Hualien City, Taiwan",1517950969810,121.6245,23.9423,7.96
8510,4.2,"Bonin Islands, Japan region",1517957030630,143.7271,26.9466,10.0
8509,4.8,"13 km NE of Hualien City, Taiwan",1517958703100,121.7165,24.0484,10.0
8508,4.6,"1 km S of Hualien City, Taiwan",1517959448290,121.6022,23.9624,10.0
8507,4.7,"7 km E of Hualien City, Taiwan",1517960631770,121.6757,23.9887,10.0
8506,4.8,"15 km ENE of Hualien City, Taiwan",1517969882770,121.7349,24.0456,7.15
8505,4.8,"16 km ENE of Hualien City, Taiwan",1517974578580,121.75,24.0477,10.0
8504,4.6,"111 km ENE of Shikotan, Russia",1517981954590,148.042,44.1067,61.59
8503,4.4,"160 km ESE of Nago, Japan",1517987492450,129.5448,26.2455,15.66
8502,4.1,"25 km NE of Hualien City, Taiwan",1517998786380,121.7602,24.1559,10.0
8501,4.8,"12 km E of Hualien City, Taiwan",1518001986420,121.7285,23.9579,10.0
8500,4.8,"18 km ENE of Hualien City, Taiwan",1518008801100,121.7812,24.0304,8.65
8499,4.6,"14 km ESE of Hualien City, Taiwan",1518013160760,121.7443,23.9436,10.0
8498,5.7,"17 km NE of Hualien City, Taiwan",1518016891710,121.7386,24.0739,15.0
8497,4.4,"28 km ENE of Hualien City, Taiwan",1518018964530,121.8411,24.113,10.0
8496,4.6,"Hokkaido, Japan region",1518024806700,144.1878,41.4786,10.0
8495,4.8,"10 km SE of Hualien City, Taiwan",1518051256460,121.6705,23.9027,7.59
8494,4.5,"3 km SSW of Hualien City, Taiwan",1518051568130,121.5947,23.9445,7.08
8493,4.5,"123 km SE of Nemuro, Japan",1518053632240,146.8038,42.6717,65.04
8492,4.7,"8 km SE of Hualien City, Taiwan",1518059163350,121.651,23.9143,10.0
8491,4.5,"5 km SSW of Ogawa, Japan",1518100461540,139.2474,36.0018,73.22
8490,4.2,"77 km SE of Katsuren-haebaru, Japan",1518122222800,128.512,25.9376,10.0
8489,4.7,"8 km SE of Hualien City, Taiwan",1518142441950,121.6602,23.9208,10.0
8488,4.1,"2 km W of Owase, Japan",1518168180570,136.1704,34.0619,386.32
8487,4.2,"28 km ENE of Shimoda, Japan",1518187119980,139.2425,34.7398,155.69
8486,4.5,"22 km ENE of Hualien City, Taiwan",1518201789380,121.8212,24.0191,10.0
8485,4.4,"Izu Islands, Japan region",1518208899660,142.431,29.2059,13.51
8484,4.2,"34 km NE of Hualien City, Taiwan",1518248929440,121.8575,24.1781,12.29
8483,4.3,"75 km SW of Yonakuni, Japan",1518262486340,122.5497,23.9255,28.25
8482,4.4,"25 km ESE of Funaishikawa, Japan",1518290055860,140.8446,36.4219,45.5
8481,4.7,"5 km SW of Heunghae, South Korea",1518292983910,129.2983,36.0763,5.4
8480,4.6,"141 km SSE of Yonakuni, Japan",1518299628410,123.3567,23.2283,24.74
8479,4.8,"293 km SSE of Shimoda, Japan",1518334262470,140.4019,32.3277,10.0
8478,4.5,"13 km S of Hualien City, Taiwan",1518334747280,121.6227,23.8539,10.0
8477,4.5,"53 km S of Nemuro, Japan",1518360571840,145.6963,42.8508,45.7
8476,4.3,"54 km SE of Namie, Japan",1518460593840,141.4783,37.1763,39.65
8475,4.5,"244 km ESE of Yamada, Japan",1518465915510,144.6161,38.7344,10.0
8474,4.5,"141 km WSW of Naze, Japan",1518476477880,128.0841,28.0614,39.55
8473,4.5,"Izu Islands, Japan region",1518528308120,138.2442,31.092,10.0
8472,4.3,"43 km NNW of Nagata, Japan",1518609667590,130.3348,30.7774,124.15
8471,4.6,"28 km ENE of Hualien City, Taiwan",1518632851880,121.8625,24.0832,8.2
8470,4.4,"179 km SE of Terney, Russia",1518789475560,138.2059,43.9076,255.25
8469,4.5,"215 km SSE of Shimoda, Japan",1518799596050,140.1304,33.0003,137.3
8468,4.4,"58 km E of Ishinomaki, Japan",1518817126030,141.9695,38.432,55.84
8467,4.4,"47 km S of Shizunai-furukawach?, Japan",1518839409310,142.4276,41.9088,62.77
8466,4.3,"93 km NE of Hengchun, Taiwan",1518858394960,121.4132,22.5681,10.0
8465,4.5,"20 km NNE of Kuroiso, Japan",1518948101630,140.1271,37.1425,106.04
8464,4.4,"130 km SE of Kuril’sk, Russia",1518955884440,149.1061,44.4367,40.92
8463,4.2,"62 km E of Hakodate, Japan",1518968157020,141.4714,41.8851,110.34
8462,5.0,"27 km SE of Saiki, Japan",1518978696430,132.1368,32.802,42.04
8461,4.2,"45 km SE of Shizunai-furukawach?, Japan",1519015251560,142.7464,42.0374,74.52
8460,4.6,"Volcano Islands, Japan region",1519019991090,144.4383,22.6293,80.28
8459,4.4,"67 km ESE of Iwaki, Japan",1519033734700,141.5195,36.725,40.54
8458,5.0,"23 km SSW of Yilan, Taiwan",1519051621420,121.6247,24.578,55.67
8457,4.5,"Bonin Islands, Japan region",1519114853680,142.6645,28.872,20.76
8456,4.0,"33 km E of Shizunai-furukawach?, Japan",1519204196950,142.7726,42.3526,104.28
8455,5.0,"60 km S of Hualien City, Taiwan",1519254640230,121.5882,23.4342,22.24
8454,4.3,"223 km SSE of Tateyama, Japan",1519294699730,140.8732,33.154,48.18
8453,4.2,"163 km SSE of Hirara, Japan",1519405321700,126.0344,23.4944,10.0
8452,4.6,"30 km ESE of Namie, Japan",1519440232580,141.3009,37.3421,35.63
8451,4.4,"southeast of the Ryukyu Islands, Japan",1519450589380,127.7271,24.4435,10.0
8450,5.0,"143 km ESE of ?hara, Japan",1519461342900,141.7403,34.5766,8.0
8449,4.9,"185 km S of Hirara, Japan",1519491570300,125.6567,23.158,10.0
8448,4.3,"Volcano Islands, Japan region",1519564422350,141.9696,23.9286,75.64
8447,5.6,"65 km E of Namie, Japan",1519576119540,141.7329,37.5968,30.57
8446,4.4,"79 km E of Namie, Japan",1519580245880,141.8959,37.5267,47.67
8445,5.1,"45 km SE of Yilan, Taiwan",1519583319330,122.0403,24.4411,10.0
8444,4.3,"172 km NNW of Nago, Japan",1519599805930,127.4319,28.0919,213.36
8443,4.4,"148 km ESE of Iwaki, Japan",1519634679910,142.4847,36.683,33.36
8442,4.7,Mariana Islands region,1519660018780,146.4292,20.2239,35.0
8441,4.3,"5 km E of Makabe, Japan",1519686480660,140.1581,36.2667,51.77
8440,4.6,"62 km ENE of Namie, Japan",1519772252470,141.669,37.6542,47.95
8439,4.6,"262 km ESE of Kamaishi, Japan",1519811098590,144.5675,38.2102,10.0
8438,4.3,"9 km ENE of Funehikimachi-funehiki, Japan",1519896885620,140.6726,37.4752,34.41
8437,5.2,"40 km WSW of Ishigaki, Japan",1519911745770,123.7672,24.2648,10.25
8436,4.7,"52 km W of Ishigaki, Japan",1519913501640,123.6462,24.3042,44.61
8435,4.2,"60 km SSE of Obihiro, Japan",1519928375120,143.5823,42.4524,64.18
8434,5.0,"20 km SSW of Yonakuni, Japan",1519962147500,122.9341,24.2901,46.31
8433,4.5,"116 km S of Yudomari, Japan",1519985469020,130.466,29.1793,10.0
8432,4.5,"192 km SSE of Tateyama, Japan",1520030167960,140.8098,33.4383,92.35
8431,4.3,"122 km E of Shikotan, Russia",1520058877780,148.2279,43.9483,47.29
8430,4.6,"27 km NNE of Hualien City, Taiwan",1520098551460,121.6968,24.2111,9.96
8429,4.4,"107 km E of Hengchun, Taiwan",1520145140900,121.788,21.9608,10.0
8428,5.4,"19 km SSW of Kuril’sk, Russia",1520193172990,147.7711,45.0674,104.0
8427,4.6,"Izu Islands, Japan region",1520196463360,142.1296,29.7665,30.44
8426,4.2,"23 km ESE of Shikotan, Russia",1520204661270,146.9787,43.7057,84.49
8425,4.4,"6 km SE of Chiba, Japan",1520231490480,140.1719,35.5689,74.09
8424,4.9,"Izu Islands, Japan region",1520247604140,142.1344,29.8056,10.0
8423,4.3,"27 km N of Mikuni, Japan",1520267204600,136.1059,36.4655,10.0
8422,4.6,"Izu Islands, Japan region",1520288384960,142.3878,29.7601,21.78
8421,4.7,"Izu Islands, Japan region",1520289450670,141.9978,29.7715,10.0
8420,4.6,"60 km E of Shikotan, Russia",1520297494580,147.4735,43.825,35.0
8419,4.4,"16 km SE of Yilan, Taiwan",1520329329920,121.8875,24.6748,83.05
8418,4.1,"215 km NE of Kuril’sk, Russia",1520335132390,149.969,46.5009,138.2
8417,4.6,"18 km WNW of Nago, Japan",1520338746450,127.805,26.658,50.39
8416,4.0,Mariana Islands region,1520354192820,143.1774,21.619,295.54
8415,5.2,"Izu Islands, Japan region",1520488718950,142.2269,29.3372,10.0
8414,4.7,"Izu Islands, Japan region",1520491490970,141.4927,30.0743,10.0
8413,4.8,"18 km SSE of Mutsu, Japan",1520586951150,141.2932,41.1296,94.28
8412,4.3,Mariana Islands region,1520622780310,144.3523,21.3002,129.42
8411,4.4,"Izu Islands, Japan region",1520624486170,142.3857,32.04,33.38
8410,4.7,"64 km ENE of Naze, Japan",1520751311140,130.0455,28.6786,22.44
8409,4.5,"109 km ESE of Kuril’sk, Russia",1520766703700,149.1115,44.7709,66.5
8408,4.9,"119 km E of Mutsu, Japan",1520836805570,142.6431,41.2079,39.07
8407,4.9,"70 km NE of Nago, Japan",1520850086880,128.3834,27.1435,53.86
8406,4.6,Mariana Islands region,1520884786940,142.9696,21.9435,271.18
8405,4.5,"44 km W of Ishigaki, Japan",1520921453960,123.7182,24.2966,10.0
8404,4.9,"6 km SSE of Hasaki, Japan",1520923591010,140.8646,35.6791,40.56
8403,4.4,"29 km ENE of Hualien City, Taiwan",1521024523270,121.8434,24.1201,10.0
8402,4.5,"52 km ESE of Ishinomaki, Japan",1521060055920,141.8747,38.2829,40.81
8401,4.4,"Izu Islands, Japan region",1521285724290,142.583,29.7621,10.0
8400,3.9,"79 km SSE of Kushiro, Japan",1521336403320,144.6415,42.2881,32.22
8399,4.5,"98 km WSW of Basco, Philippines",1521343220950,121.1066,20.0906,10.0
8398,4.4,"6 km ENE of Ichihara, Japan",1521345545340,140.1543,35.5325,63.52
8397,4.4,"97 km NE of Hasaki, Japan",1521345589210,141.6769,36.2877,41.31
8396,4.3,Mariana Islands region,1521391812060,144.0014,21.6587,141.18
8395,4.9,"54 km SSE of Hasaki, Japan",1521427510020,141.092,35.2872,30.54
8394,4.2,"156 km ESE of Kuril’sk, Russia",1521487055770,149.7175,44.7115,40.03
8393,4.9,"20 km NE of Yujing, Taiwan",1521537776650,120.5764,23.2711,12.82
8392,4.0,"215 km S of Shimoda, Japan",1521540472570,138.8923,32.7353,233.98
8391,4.4,"Volcano Islands, Japan region",1521557293680,142.9836,23.0426,43.27
8390,4.3,"70 km SE of Koshima, Japan",1521584778190,131.0743,29.8059,10.0
8389,4.3,"186 km ESE of Yamada, Japan",1521616027010,144.0492,39.0663,36.45
8388,4.4,"Izu Islands, Japan region",1521649134460,141.1711,29.538,45.59
8387,4.5,"31 km SSE of Shiraoi, Japan",1521674106500,141.4544,42.2748,105.36
8386,4.6,"160 km SSE of Hirara, Japan",1521688998730,125.7219,23.4113,8.67
8385,4.8,"41 km SE of ?funato, Japan",1521754340580,142.1143,38.8556,39.74
8384,4.2,"143 km WNW of Iwanai, Japan",1521801291740,138.8275,43.3806,224.01
8383,4.9,"Izu Islands, Japan region",1521807392300,142.4863,30.0307,10.0
8382,4.1,"76 km NE of Naze, Japan",1521831543320,130.0143,28.8739,24.75
8381,4.9,"89 km W of Iwanai, Japan",1521831766120,139.4182,43.0836,210.77
8380,4.9,"106 km S of Hirara, Japan",1521836918300,125.3041,23.8435,22.6
8379,4.4,"120 km W of Basco, Philippines",1521852742120,120.8159,20.5118,18.32
8378,4.2,"Volcano Islands, Japan region",1521862090840,141.0716,25.3189,106.87
8377,4.8,"129 km W of Basco, Philippines",1521917894450,120.7377,20.5889,10.0
8376,4.3,"101 km SSE of Kushiro, Japan",1521931745520,144.9285,42.1562,10.86
8375,4.0,"Bonin Islands, Japan region",1521945759600,140.2891,27.2991,356.65
8374,5.7,"276 km SSE of Tateyama, Japan",1521988643170,140.6901,32.5916,50.0
8373,5.0,"282 km SSE of Tateyama, Japan",1521992184920,140.6485,32.5225,54.14
8372,4.3,"eastern Honshu, Japan",1522057475910,139.872,36.0917,65.39
8371,5.2,"Volcano Islands, Japan region",1522132752590,143.1239,23.6807,46.25
8370,4.0,"18 km SE of Shizunai-furukawach?, Japan",1522167661370,142.541,42.2357,71.75
8369,4.3,"181 km S of ?yama, Japan",1522168574910,137.8616,32.9904,328.64
8368,4.3,"86 km SSE of Kushiro, Japan",1522226936820,144.8138,42.2632,37.42
8367,4.4,"38 km ESE of Yilan, Taiwan",1522232997440,122.1133,24.6526,70.94
8366,4.4,"234 km E of Hasaki, Japan",1522249120750,143.3784,36.1497,10.0
8365,4.8,"10 km NE of Puli, Taiwan",1522282670710,121.0553,24.0214,10.45
8364,4.4,"46 km S of Shizunai-furukawach?, Japan",1522332359340,142.337,41.9114,68.15
8363,4.3,"23 km SSE of Nemuro, Japan",1522338073020,145.6973,43.133,74.15
8362,5.0,"18 km E of Funaishikawa, Japan",1522365453180,140.7736,36.4375,40.16
8361,4.4,"94 km S of Koshima, Japan",1522395041010,130.634,29.3907,40.02
8360,4.5,"Izu Islands, Japan region",1522482396260,142.5582,29.0279,10.0
8359,3.4,"6 km W of Hitachi, Japan",1522483530330,140.5814,36.5923,65.57
8358,4.4,"14 km ENE of Lugu, Taiwan",1522598524590,120.8838,23.8045,28.36
8357,4.6,"Izu Islands, Japan region",1522644044190,140.975,31.6612,47.71
8356,4.3,"35 km SE of Shizunai-furukawach?, Japan",1522675431950,142.6186,42.0716,57.75
8355,4.3,"97 km ESE of Nago, Japan",1522687204480,128.9072,26.3308,15.28
8354,4.5,"63 km SE of Koseda, Japan",1522693183440,131.1529,30.0126,37.24
8353,4.8,"65 km SE of Koseda, Japan",1522696221010,131.1771,30.0222,40.63
8352,4.6,"70 km ESE of Koshima, Japan",1522699136460,131.1891,29.9493,22.78
8351,4.3,"Bonin Islands, Japan region",1522701824780,142.0858,26.7925,33.9
8350,4.4,"Bonin Islands, Japan region",1522737901630,142.1438,26.6513,33.64
8349,4.5,"150 km NW of Nago, Japan",1522746568670,126.8807,27.5464,10.0
8348,4.1,"1 km ESE of Kitaibaraki, Japan",1522757170890,140.7648,36.7802,96.25
8347,4.5,"132 km NW of Nago, Japan",1522769856740,126.9905,27.4167,10.0
8346,4.5,"69 km E of Namie, Japan",1522827423520,141.7787,37.3857,36.05
8345,4.0,"163 km SE of Kuril’sk, Russia",1522904959400,149.2021,44.0949,10.0
8344,4.4,"Bonin Islands, Japan region",1522952371860,142.8111,27.2439,21.03
8343,4.9,"Izu Islands, Japan region",1523034698050,143.1684,29.9638,9.27
8342,4.3,"51 km NNE of Shikotan, Russia",1523056962710,146.9428,44.2363,34.84
8341,4.3,"29 km W of Shikotan, Russia",1523152900140,146.3629,43.8434,100.72
8340,5.7,"8 km NNE of ?dach?-?da, Japan",1523205151520,132.5528,35.2588,10.34
8339,4.4,"13 km S of ?dach?-?da, Japan",1523205834340,132.4912,35.073,9.59
8338,4.7,"6 km S of ?dach?-?da, Japan",1523206606890,132.5019,35.1347,8.6
8337,4.6,"9 km S of ?dach?-?da, Japan",1523207456840,132.4956,35.1024,10.0
8336,4.5,"14 km SSE of ?dach?-?da, Japan",1523217943380,132.5707,35.0732,10.0
8335,4.3,"128 km E of Shikotan, Russia",1523298580880,148.2967,43.9839,35.0
8334,4.5,"42 km SSE of Kushima, Japan",1523304562650,131.3314,31.115,48.89
8333,4.4,"Volcano Islands, Japan region",1523306633120,144.0954,22.9953,10.0
8332,4.0,"38 km NW of Shimokizukuri, Japan",1523309116870,140.0115,41.0298,151.97
8331,4.5,"Izu Islands, Japan region",1523354006460,142.3186,32.7803,10.0
8330,4.3,"29 km W of Makurazaki, Japan",1523370281910,130.006,31.2888,9.15
8329,4.2,"Izu Islands, Japan region",1523390700480,139.3824,29.1011,438.93
8328,4.2,"Izu Islands, Japan region",1523418494800,137.664,30.5021,497.76
8327,4.6,"126 km ESE of Yujing, Taiwan",1523432369980,121.6459,22.8145,16.98
8326,4.6,"35 km ESE of Ishinomaki, Japan",1523471466660,141.6775,38.2921,52.06
8325,4.0,"48 km ESE of Ishinomaki, Japan",1523473753780,141.8201,38.2554,47.87
8324,4.7,"Volcano Islands, Japan region",1523476255130,144.0675,22.2009,96.55
